_id,productId,productName,price,size,color,fabric,productDescription,availableStock,averageRating,categoryName,promoName,discountPercentage
65e723db2b05f3456f8e39f8,17,Robe midi - Élégant,79.63,L,Imprimé géométrique,Polyester,Robe midi élégante pour un look tendance.,49,2.04,Robe,Semaine du Client,20
65e723db2b05f3456f8e39f9,18,Blazer ajusté - Chic,69.85,M,Bleu marine,Polyester,Blazer ajusté chic pour un look professionnel.,40,1.94,Blazer,Promo d'Automne,15
65e723db2b05f3456f8e39fa,19,Jupe plissée - Chic,77.55,L,Bleu marine,Polyester,Jupe plissée chic pour un look féminin.,7,0.86,Jupe,Semaine du Client,20
65e723db2b05f3456f8e39fb,20,T-shirt basique - Décontracté,48.56,S,Vert,Coton,T-shirt décontracté en coton pour un look confortable.,0,2.14,T-shirt,Vacances d'été,25
65e723db2b05f3456f8e39fc,21,Parka imperméable - Chaud,83.7,XL,Bleu marine,Nylon,Parka imperméable pour rester au chaud par temps humide.,73,1.9,Manteau,Solde d'hiver,35
65e723db2b05f3456f8e39fd,22,Blazer ajusté - Chic,63.79,S,Gris anthracite,Polyester,Blazer ajusté chic pour un look professionnel.,86,2.06,Blazer,Journée Internationale de la Femme,15
65e723db2b05f3456f8e39fe,23,Pyjama en jersey - Confortable,27.02,S,Rayures fines,Jersey,Pyjama en jersey pour une nuit confortable.,63,3.97,Pyjama,Black Friday,30
65e723db2b05f3456f8e39ff,24,Pyjama en jersey - Confortable,40.44,L,Rayures fines,Jersey,Pyjama en jersey pour une nuit confortable.,67,1.41,Pyjama,Halloween,20
65e723db2b05f3456f8e3a00,25,Manteau en laine - Chaud,84.4,M,Gris,Laine,Manteau en laine pour rester au chaud avec style.,14,1.99,Manteau,Promo d'Automne,15
65e723db2b05f3456f8e3a01,26,Pull en tricot oversize - Oversize,32.51,XL,Rose poudré,Acrylique,Pull en tricot oversize pour un confort maximal.,97,4.18,Pull,Halloween,20
65e723db2b05f3456f8e3a02,27,Jupe crayon - Chic,80.71,XL,Noir,Coton mélangé,Jupe crayon chic pour un look féminin et sophistiqué.,82,3.79,Jupe,Spécial Anniversaire,10
65e723db2b05f3456f8e3a03,28,Blouse en soie - Classe,60.83,M,Noir,Soie,Blouse en soie pour un look classe et féminin.,76,2.13,Chemisier,Solde de noël,40
65e723db2b05f3456f8e3a04,29,Pantalon taille haute - Vintage,11.05,M,Vert forêt,Velours côtelé,Pantalon taille haute vintage pour une touche rétro.,68,3.3,Pantalon,Saint-Valentin,15
65e723db2b05f3456f8e3a05,30,Jupe crayon - Chic,9.38,S,Gris,Coton mélangé,Jupe crayon chic pour un look féminin et sophistiqué.,2,0.56,Jupe,Spécial Étudiants,10
65e723db2b05f3456f8e3a06,31,Blouse en soie - Classe,9.19,L,Imprimé floral,Soie,Blouse en soie pour un look classe et féminin.,76,2.31,Chemisier,Promo d'Automne,15
65e723db2b05f3456f8e3a07,32,Pyjama en jersey - Confortable,33.55,XL,Bleu clair,Jersey,Pyjama en jersey pour une nuit confortable.,55,1.04,Pyjama,Promo Flash,30
65e723db2b05f3456f8e3a08,33,Short en lin - Décontracté,25.42,M,Beige,Lin,Short décontracté en lin pour les journées ensoleillées.,34,3.33,Short,Saint-Patrick,20
65e723db2b05f3456f8e3a09,34,Blouse en soie - Classe,5.34,S,Noir,Soie,Blouse en soie pour un look classe et féminin.,66,3.23,Chemisier,Fête du Travail,10
65e723db2b05f3456f8e3a0a,35,Chemise oversize - Oversize,91.76,M,Gris chiné,Coton,Chemise oversize pour un style décontracté.,46,1.39,Chemise,Semaine du Client,20
65e723db2b05f3456f8e3a0b,36,Veste en velours - Vintage,34.82,XL,Rose antique,Velours,Veste en velours vintage pour une touche rétro.,32,3.2,Veste,Cyber Monday,25
65e723db2b05f3456f8e3a0c,37,Pyjama en flanelle - Confortable,9.46,XL,Vert pastel,Flanelle,Pyjama en flanelle pour une nuit de sommeil confortable.,78,3.22,Pyjama,Back to School,15
65e723db2b05f3456f8e3a0d,38,Chemise oversize - Oversize,1.51,M,Blanc,Coton,Chemise oversize pour un style décontracté.,1,3.44,Chemise,Spécial Anniversaire,10
65e723db2b05f3456f8e3a0e,39,Sweat à capuche oversize - Oversize,20.73,M,Gris chiné,Coton,Sweat à capuche oversize pour un confort maximal.,97,1.16,Pull,Solde de noël,40
65e723db2b05f3456f8e3a0f,40,Pantalon de survêtement - Sportif,43.26,S,Rouge,Polyester,Pantalon de survêtement sportif pour un look décontracté.,54,2.18,Sportswear,Solde de noël,40
65e723db2b05f3456f8e3a10,41,Chemise oversize - Oversize,67.86,L,Blanc,Coton,Chemise oversize pour un style décontracté.,13,0.57,Chemise,Solde de noël,40
65e723db2b05f3456f8e3a11,42,Robe cocktail - Élégant,15.23,XL,Doré,Polyester,Robe cocktail élégante pour les occasions spéciales.,32,2.12,Robe,Solde d'été,40
65e723db2b05f3456f8e3a12,43,Short en lin - Décontracté,82.48,M,Blanc,Lin,Short décontracté en lin pour les journées ensoleillées.,82,2.42,Short,Halloween,20
65e723db2b05f3456f8e3a13,44,Pantalon de survêtement - Sportif,61.17,XL,Rouge,Polyester,Pantalon de survêtement sportif pour un look décontracté.,73,1.37,Sportswear,Spécial Anniversaire,10
65e723db2b05f3456f8e3a14,45,Ensemble de jogging - Sportif,29.6,XXL,Noir,Polyester,Ensemble de jogging sportif pour un style décontracté.,38,0.97,Sportswear,Solde d'hiver,35
65e723db2b05f3456f8e3a15,46,Pantalon taille haute - Vintage,76.87,L,Carreaux rétro,Velours côtelé,Pantalon taille haute vintage pour une touche rétro.,50,3.3,Pantalon,Solde d'hiver,35
65e723db2b05f3456f8e3a16,47,Chemise oversize - Oversize,11.3,M,Bleu clair,Coton,Chemise oversize pour un style décontracté.,25,2.8,Chemise,Fête des Mères,15
65e723db2b05f3456f8e3a17,48,Robe cocktail - Élégant,42.64,S,Bleu nuit,Polyester,Robe cocktail élégante pour les occasions spéciales.,93,3.13,Robe,Back to School,15
65e723db2b05f3456f8e3a18,49,Pull en tricot oversize - Oversize,47.1,L,Mauve,Acrylique,Pull en tricot oversize pour un confort maximal.,9,2.93,Pull,Nouvel An,18
65e723db2b05f3456f8e3a19,50,T-shirt basique - Décontracté,99.78,XS,Vert,Coton,T-shirt décontracté en coton pour un look confortable.,6,0.69,T-shirt,Cadeau Gratuit,5
65e723db2b05f3456f8e3a1a,51,Pantalon taille haute - Vintage,82.36,M,Jaune moutarde,Velours côtelé,Pantalon taille haute vintage pour une touche rétro.,57,4.32,Pantalon,Saint-Patrick,20
65e723db2b05f3456f8e3a1b,52,Pyjama en flanelle - Confortable,23.05,M,Violet clair,Flanelle,Pyjama en flanelle pour une nuit de sommeil confortable.,61,4.14,Pyjama,Printemps Fleuri,20
65e723db2b05f3456f8e3a1c,53,Robe cocktail - Élégant,33.05,L,Rouge vif,Polyester,Robe cocktail élégante pour les occasions spéciales.,62,2.04,Robe,Solde d'été,40
65e723db2b05f3456f8e3a1d,54,Sweat à capuche oversize - Oversize,40.98,XL,Gris chiné,Coton,Sweat à capuche oversize pour un confort maximal.,7,1.88,Pull,Printemps Fleuri,20
65e723db2b05f3456f8e3a1e,55,Tunique brodée - Bohème,85.37,M,Ivoire,Coton,Tunique brodée bohème pour un style décontracté.,84,0.91,Tunique,Promo Flash,30
65e723db2b05f3456f8e3a1f,56,Short en lin - Décontracté,34.67,XL,Rose pâle,Lin,Short décontracté en lin pour les journées ensoleillées.,28,0.85,Short,Saint-Patrick,20
65e723db2b05f3456f8e3a20,57,Pantalon de survêtement - Sportif,29.49,XXL,Noir,Polyester,Pantalon de survêtement sportif pour un look décontracté.,61,1.56,Sportswear,Saint-Valentin,15
65e723db2b05f3456f8e3a21,58,Legging de sport - Sportif,77.85,XL,Noir,Spandex,Legging de sport pour un look dynamique.,4,3.04,Sportswear,Printemps Fleuri,20
65e723db2b05f3456f8e3a22,59,Parka imperméable - Chaud,78.08,M,Bleu marine,Nylon,Parka imperméable pour rester au chaud par temps humide.,46,1.09,Manteau,Cyber Monday,25
65e723db2b05f3456f8e3a23,60,T-shirt basique - Décontracté,18.7,XXL,Blanc,Coton,T-shirt décontracté en coton pour un look confortable.,77,4.5,T-shirt,Black Friday,30
65e723db2b05f3456f8e3a24,61,Veste en jean - Vintage,29.76,XXL,Noir,Denim,Veste en jean vintage pour un look rétro.,14,1.35,Denim,Journée Internationale de la Femme,15
65e723db2b05f3456f8e3a25,62,Pantalon taille haute - Vintage,43.68,L,Carreaux rétro,Velours côtelé,Pantalon taille haute vintage pour une touche rétro.,51,1.78,Pantalon,Cyber Monday,25
65e723db2b05f3456f8e3a26,63,Manteau en laine - Chaud,84.12,L,Noir,Laine,Manteau en laine pour rester au chaud avec style.,75,3.25,Manteau,Cadeau Gratuit,5
65e723db2b05f3456f8e3a27,64,Robe longue fluide - Bohème,51.4,M,Violet,Viscose,Robe longue fluide pour un style bohème décontracté.,69,2.46,Robe,Solde d'hiver,35
65e723db2b05f3456f8e3a28,65,Robe cocktail - Élégant,30.34,M,Argenté,Polyester,Robe cocktail élégante pour les occasions spéciales.,10,3.68,Robe,Solde de noël,40
65e723db2b05f3456f8e3a29,66,Chemise élégante - Classe,88.1,M,Blanc,Coton,Chemise élégante en coton pour un style raffiné.,89,0.79,Chemise,Halloween,20
65e723db2b05f3456f8e3a2a,67,Veste en velours - Vintage,10.75,XXL,Rose antique,Velours,Veste en velours vintage pour une touche rétro.,54,1.76,Veste,Solde d'été,40
65e723db2b05f3456f8e3a2b,68,Pyjama en flanelle - Confortable,32.65,XL,Rose pâle,Flanelle,Pyjama en flanelle pour une nuit de sommeil confortable.,91,3.2,Pyjama,Vacances d'été,25
65e723db2b05f3456f8e3a2c,69,Manteau en laine - Chaud,24.1,L,Camel,Laine,Manteau en laine pour rester au chaud avec style.,66,4.31,Manteau,Printemps Fleuri,20
65e723db2b05f3456f8e3a2d,70,Blouse en soie - Classe,62.34,L,Bleu marine,Soie,Blouse en soie pour un look classe et féminin.,60,2.52,Chemisier,Saint-Valentin,15
65e723db2b05f3456f8e3a2e,71,Ensemble de jogging - Sportif,38.85,M,Gris,Polyester,Ensemble de jogging sportif pour un style décontracté.,27,0.79,Sportswear,Spécial Anniversaire,10
65e723db2b05f3456f8e3a2f,72,Legging de sport - Sportif,71.62,S,Noir,Spandex,Legging de sport pour un look dynamique.,87,2.63,Sportswear,Cadeau Gratuit,5
65e723db2b05f3456f8e3a30,73,Ensemble de jogging - Sportif,87.17,XXL,Gris,Polyester,Ensemble de jogging sportif pour un style décontracté.,21,3.76,Sportswear,Fête des Mères,15
65e723db2b05f3456f8e3a31,74,Sweat à capuche oversize - Oversize,85.65,M,Gris chiné,Coton,Sweat à capuche oversize pour un confort maximal.,78,3.83,Pull,Spécial Étudiants,10
65e723db2b05f3456f8e3a32,75,Chemise élégante - Classe,92.55,S,Rayures fines,Coton,Chemise élégante en coton pour un style raffiné.,81,0.97,Chemise,Vacances d'été,25
65e723db2b05f3456f8e3a33,76,Jupe plissée - Chic,39.38,S,Bleu marine,Polyester,Jupe plissée chic pour un look féminin.,10,3.05,Jupe,Black Friday,30
65e723db2b05f3456f8e3a34,77,Costume deux pièces - Élégant,23.44,XL,Bordeaux,Laine mélangée,Costume deux pièces élégant pour une allure sophistiquée.,79,1.38,Costume,Vacances d'été,25
65e723db2b05f3456f8e3a35,78,Pantalon de survêtement - Sportif,23.87,XL,Gris,Polyester,Pantalon de survêtement sportif pour un look décontracté.,82,1.89,Sportswear,Solde d'été,40
65e723db2b05f3456f8e3a36,79,Jupe crayon - Chic,84.15,M,Bleu marine,Coton mélangé,Jupe crayon chic pour un look féminin et sophistiqué.,19,4.17,Jupe,Black Friday,30
65e723db2b05f3456f8e3a37,80,Pyjama en flanelle - Confortable,11.79,M,Rose pâle,Flanelle,Pyjama en flanelle pour une nuit de sommeil confortable.,37,1.5,Pyjama,Fête du Travail,10
65e723db2b05f3456f8e3a38,81,T-shirt à manches longues - Décontracté,19.65,XL,Noir,Coton,T-shirt à manches longues décontracté pour un style polyvalent.,11,2.44,T-shirt,Fête des Mères,15
65e723db2b05f3456f8e3a39,82,T-shirt à manches longues - Décontracté,52.19,S,Noir,Coton,T-shirt à manches longues décontracté pour un style polyvalent.,36,2.14,T-shirt,Nouvel An,18
65e723db2b05f3456f8e3a3a,83,Veste en velours - Vintage,17.34,XXL,Rose antique,Velours,Veste en velours vintage pour une touche rétro.,64,0.81,Veste,Soldes de Fin d'Année,25
65e723db2b05f3456f8e3a3b,84,Pull en tricot oversize - Oversize,56.61,M,Mauve,Acrylique,Pull en tricot oversize pour un confort maximal.,87,1.94,Pull,Fête des Mères,15
65e723db2b05f3456f8e3a3c,85,Pantalon de survêtement - Sportif,16.96,XXL,Rouge,Polyester,Pantalon de survêtement sportif pour un look décontracté.,86,2.82,Sportswear,Journée Internationale de la Femme,15
65e723db2b05f3456f8e3a3d,86,Chemise élégante - Classe,85.71,S,Rayures fines,Coton,Chemise élégante en coton pour un style raffiné.,10,1.51,Chemise,Spécial Étudiants,10
65e723db2b05f3456f8e3a3e,87,Robe longue fluide - Bohème,2.1,L,Jaune moutarde,Viscose,Robe longue fluide pour un style bohème décontracté.,74,0.52,Robe,Solde d'hiver,35
65e723db2b05f3456f8e3a3f,88,T-shirt basique - Décontracté,31.34,M,Gris,Coton,T-shirt décontracté en coton pour un look confortable.,86,2.53,T-shirt,Solde d'été,40
65e723db2b05f3456f8e3a40,89,Jupe crayon - Chic,66.55,XL,Bordeaux,Coton mélangé,Jupe crayon chic pour un look féminin et sophistiqué.,23,1.57,Jupe,Solde d'été,40
65e723db2b05f3456f8e3a41,90,Legging de sport - Sportif,87.31,S,Imprimé camouflage,Spandex,Legging de sport pour un look dynamique.,74,3.39,Sportswear,Fête du Travail,10
65e723db2b05f3456f8e3a42,91,Jupe crayon - Chic,16.54,XL,Gris,Coton mélangé,Jupe crayon chic pour un look féminin et sophistiqué.,91,2.17,Jupe,Rentrée Scolaire,50
65e723db2b05f3456f8e3a43,92,Sweat à capuche oversize - Oversize,71.39,L,Rose pâle,Coton,Sweat à capuche oversize pour un confort maximal.,39,4.2,Pull,Cyber Monday,25
65e723db2b05f3456f8e3a44,93,Costume deux pièces - Élégant,15.74,L,Marron,Laine mélangée,Costume deux pièces élégant pour une allure sophistiquée.,69,3.26,Costume,Cadeau Gratuit,5
65e723db2b05f3456f8e3a45,94,Robe midi - Élégant,99.35,M,Bleu marine,Polyester,Robe midi élégante pour un look tendance.,43,1,Robe,Saint-Valentin,15
65e723db2b05f3456f8e3a46,95,Short en lin - Décontracté,89.05,S,Rose pâle,Lin,Short décontracté en lin pour les journées ensoleillées.,22,0.79,Short,Fête du Travail,10
65e723db2b05f3456f8e3a47,96,Ensemble de jogging - Sportif,88.65,M,Rouge,Polyester,Ensemble de jogging sportif pour un style décontracté.,5,2.25,Sportswear,Saint-Valentin,15
65e723db2b05f3456f8e3a48,97,Legging de sport - Sportif,24.53,XL,Rose,Spandex,Legging de sport pour un look dynamique.,37,3.73,Sportswear,Journée Internationale de la Femme,15
65e723db2b05f3456f8e3a49,98,Short de sport - Sportif,31.56,S,Gris,Polyester,Short de sport pour un look dynamique.,79,4.09,Sportswear,Soldes de Fin d'Année,25
65e723db2b05f3456f8e3a4a,99,T-shirt basique - Décontracté,23.08,XS,Bleu,Coton,T-shirt décontracté en coton pour un look confortable.,93,2.54,T-shirt,Saint-Valentin,15
65e723db2b05f3456f8e3a4b,100,Veste en velours - Vintage,87,M,Rose antique,Velours,Veste en velours vintage pour une touche rétro.,1,4.09,Veste,Saint-Valentin,15
65e723db2b05f3456f8e3a4c,101,Veste en velours - Vintage,87.87,XL,Bordeaux,Velours,Veste en velours vintage pour une touche rétro.,51,3.09,Veste,Printemps Fleuri,20
65e723db2b05f3456f8e3a4d,102,T-shirt basique - Décontracté,75.44,XL,Vert,Coton,T-shirt décontracté en coton pour un look confortable.,32,2.07,T-shirt,Cyber Monday,25
65e723db2b05f3456f8e3a4e,103,Pyjama en flanelle - Confortable,16.61,M,Violet clair,Flanelle,Pyjama en flanelle pour une nuit de sommeil confortable.,23,2.56,Pyjama,Semaine du Client,20
65e723db2b05f3456f8e3a4f,104,Pyjama en jersey - Confortable,97.26,L,Bleu clair,Jersey,Pyjama en jersey pour une nuit confortable.,99,3.03,Pyjama,Spécial Anniversaire,10
65e723db2b05f3456f8e3a50,105,Manteau en laine - Chaud,40.18,XXL,Rouge,Laine,Manteau en laine pour rester au chaud avec style.,8,1.53,Manteau,Journée Internationale de la Femme,15
65e723db2b05f3456f8e3a51,106,Jupe plissée - Chic,69.82,L,Noir,Polyester,Jupe plissée chic pour un look féminin.,1,2.58,Jupe,Vacances d'été,25
65e723db2b05f3456f8e3a52,107,Jupe crayon - Chic,65.9,S,Noir,Coton mélangé,Jupe crayon chic pour un look féminin et sophistiqué.,92,2.6,Jupe,Solde d'hiver,35
65e723db2b05f3456f8e3a53,108,Chemise oversize - Oversize,31.2,M,Blanc,Coton,Chemise oversize pour un style décontracté.,82,1.18,Chemise,Solde de noël,40
65e723db2b05f3456f8e3a54,109,T-shirt basique - Décontracté,4.87,XXS,Bleu,Coton,T-shirt décontracté en coton pour un look confortable.,18,3.79,T-shirt,Spécial Anniversaire,10
65e723db2b05f3456f8e3a55,110,Pull en tricot oversize - Oversize,36.02,S,Gris clair,Acrylique,Pull en tricot oversize pour un confort maximal.,33,2.64,Pull,Fête des Mères,15
65e723db2b05f3456f8e3a56,111,Robe midi - Élégant,73.88,M,Noir,Polyester,Robe midi élégante pour un look tendance.,6,4.01,Robe,Back to School,15
65e723db2b05f3456f8e3a57,112,Robe midi - Élégant,49.51,S,Bleu marine,Polyester,Robe midi élégante pour un look tendance.,98,1.94,Robe,Spécial Anniversaire,10
65e723db2b05f3456f8e3a58,113,Blouse en soie - Classe,32.27,M,Imprimé floral,Soie,Blouse en soie pour un look classe et féminin.,19,2.35,Chemisier,Semaine du Client,20
65e723db2b05f3456f8e3a59,114,Legging de sport - Sportif,29.57,S,Gris,Spandex,Legging de sport pour un look dynamique.,90,2.52,Sportswear,Solde d'hiver,35
65e723db2b05f3456f8e3a5a,115,Short de sport - Sportif,35.2,S,Gris,Polyester,Short de sport pour un look dynamique.,78,2.27,Sportswear,Soldes de Fin d'Année,25
65e723db2b05f3456f8e3a5b,116,Robe midi - Élégant,62.89,XS,Blanc,Polyester,Robe midi élégante pour un look tendance.,38,2.26,Robe,Saint-Valentin,15
65e723db2b05f3456f8e3a5c,117,Robe longue fluide - Bohème,28.08,L,Vert olive,Viscose,Robe longue fluide pour un style bohème décontracté.,67,3.45,Robe,Promo d'Automne,15
65e723db2b05f3456f8e3a5d,118,Blazer ajusté - Chic,32.73,XL,Blanc,Polyester,Blazer ajusté chic pour un look professionnel.,6,1.74,Blazer,Solde de noël,40
65e723db2b05f3456f8e3a5e,119,Chemise élégante - Classe,98.2,S,Blanc,Coton,Chemise élégante en coton pour un style raffiné.,74,3.67,Chemise,Fête du Travail,10
65e723db2b05f3456f8e3a5f,120,Sweat à capuche oversize - Oversize,40.69,L,Noir,Coton,Sweat à capuche oversize pour un confort maximal.,81,0.7,Pull,Rentrée Scolaire,50
65e723db2b05f3456f8e3a60,121,Sweat à capuche oversize - Oversize,33.49,M,Rose pâle,Coton,Sweat à capuche oversize pour un confort maximal.,2,2.47,Pull,Fête du Travail,10
65e723db2b05f3456f8e3a61,122,Chemise élégante - Classe,76.71,L,Blanc,Coton,Chemise élégante en coton pour un style raffiné.,50,3.41,Chemise,Black Friday,30
65e723db2b05f3456f8e3a62,123,Short en jean - Décontracté,25.14,XL,Blanc,Denim,Short en jean décontracté pour un look estival.,56,3.21,Short,Solde d'été,40
65e723db2b05f3456f8e3a63,124,Legging de sport - Sportif,27.36,L,Noir,Spandex,Legging de sport pour un look dynamique.,58,1.96,Sportswear,Halloween,20
65e723db2b05f3456f8e3a64,125,Jupe crayon - Chic,48.38,M,Noir,Coton mélangé,Jupe crayon chic pour un look féminin et sophistiqué.,59,3.02,Jupe,Fête des Mères,15
65e723db2b05f3456f8e3a65,126,Pull en tricot oversize - Oversize,81.47,M,Rose poudré,Acrylique,Pull en tricot oversize pour un confort maximal.,83,2.95,Pull,Fête des Mères,15
65e723db2b05f3456f8e3a66,127,Pyjama en jersey - Confortable,1.86,M,Rose pâle,Jersey,Pyjama en jersey pour une nuit confortable.,100,4.2,Pyjama,Vacances d'été,25
65e723db2b05f3456f8e3a67,128,T-shirt à manches longues - Décontracté,6.18,XL,Rouge,Coton,T-shirt à manches longues décontracté pour un style polyvalent.,92,1.19,T-shirt,Promo Flash,30
65e723db2b05f3456f8e3a68,129,Robe longue fluide - Bohème,51.48,S,Bleu ciel,Viscose,Robe longue fluide pour un style bohème décontracté.,37,4.21,Robe,Solde de noël,40
65e723db2b05f3456f8e3a69,130,Manteau en laine - Chaud,33.15,XL,Noir,Laine,Manteau en laine pour rester au chaud avec style.,34,1.54,Manteau,Promo d'Automne,15
65e723db2b05f3456f8e3a6a,131,Chemisier à col lavallière - Classe,85.91,S,Noir,Soie,Chemisier à col lavallière classe pour un look féminin.,45,1.11,Chemisier,Cyber Monday,25
65e723db2b05f3456f8e3a6b,132,Tunique brodée - Bohème,1.66,S,Vert sauge,Coton,Tunique brodée bohème pour un style décontracté.,100,1.03,Tunique,Printemps Fleuri,20
65e723db2b05f3456f8e3a6c,133,Veste en jean - Vintage,53.16,XL,Noir,Denim,Veste en jean vintage pour un look rétro.,84,0.8,Denim,Solde d'hiver,35
65e723db2b05f3456f8e3a6d,134,Legging de sport - Sportif,68.35,S,Imprimé camouflage,Spandex,Legging de sport pour un look dynamique.,79,2.23,Sportswear,Cyber Monday,25
65e723db2b05f3456f8e3a6e,135,Parka imperméable - Chaud,74.73,XL,Gris,Nylon,Parka imperméable pour rester au chaud par temps humide.,39,4.47,Manteau,Rentrée Scolaire,50
65e723db2b05f3456f8e3a6f,136,Tunique brodée - Bohème,70.12,L,Rose poudré,Coton,Tunique brodée bohème pour un style décontracté.,94,1.29,Tunique,Vacances d'été,25
65e723db2b05f3456f8e3a70,137,Tunique brodée - Bohème,15.63,M,Moutarde,Coton,Tunique brodée bohème pour un style décontracté.,98,2.97,Tunique,Nouvel An,18
65e723db2b05f3456f8e3a71,138,Manteau en laine - Chaud,3.11,XL,Camel,Laine,Manteau en laine pour rester au chaud avec style.,99,2.36,Manteau,Halloween,20
65e723db2b05f3456f8e3a72,139,Jupe plissée - Chic,24.53,M,Blanc,Polyester,Jupe plissée chic pour un look féminin.,53,1.96,Jupe,Back to School,15
65e723db2b05f3456f8e3a73,140,Chemise oversize - Oversize,2.13,XL,Rose pâle,Coton,Chemise oversize pour un style décontracté.,33,0.7,Chemise,Halloween,20
65e723db2b05f3456f8e3a74,141,T-shirt à manches longues - Décontracté,66.4,XL,Bleu marine,Coton,T-shirt à manches longues décontracté pour un style polyvalent.,44,2.42,T-shirt,Nouvel An,18
65e723db2b05f3456f8e3a75,142,Chemisier à volants - Chic,26.59,M,Bleu ciel,Coton,Chemisier à volants chic pour une allure féminine.,55,2.7,Chemisier,Black Friday,30
65e723db2b05f3456f8e3a76,143,Pantalon de survêtement - Sportif,41.82,M,Vert kaki,Polyester,Pantalon de survêtement sportif pour un look décontracté.,73,3.49,Sportswear,Promo Flash,30
65e723db2b05f3456f8e3a77,144,Short en lin - Décontracté,52.88,M,Bleu clair,Lin,Short décontracté en lin pour les journées ensoleillées.,34,4.24,Short,Black Friday,30
65e723db2b05f3456f8e3a78,145,Manteau en laine - Chaud,99.17,XL,Noir,Laine,Manteau en laine pour rester au chaud avec style.,26,2.9,Manteau,Fête des Mères,15
65e723db2b05f3456f8e3a79,146,Blouse en soie - Classe,0.95,S,Blanc,Soie,Blouse en soie pour un look classe et féminin.,3,2.27,Chemisier,Vacances d'été,25
65e723db2b05f3456f8e3a7a,147,Robe cocktail - Élégant,4.87,M,Bleu nuit,Polyester,Robe cocktail élégante pour les occasions spéciales.,70,4.18,Robe,Rentrée Scolaire,50
65e723db2b05f3456f8e3a7b,148,Pyjama en jersey - Confortable,62.9,M,Bleu clair,Jersey,Pyjama en jersey pour une nuit confortable.,39,1.22,Pyjama,Semaine du Client,20
65e723db2b05f3456f8e3a7c,149,T-shirt à manches longues - Décontracté,97.18,M,Gris,Coton,T-shirt à manches longues décontracté pour un style polyvalent.,41,2.14,T-shirt,Cyber Monday,25
65e723db2b05f3456f8e3a7d,150,Pyjama en jersey - Confortable,28.94,XL,Gris chiné,Jersey,Pyjama en jersey pour une nuit confortable.,80,4.44,Pyjama,Promo d'Automne,15
65e723db2b05f3456f8e3a7e,151,Robe de soirée - Élégant,12.6,XS,Or,Soie,Robe de soirée élégante en soie pour une allure sophistiquée.,51,0.94,Robe,Solde d'été,40
